`职务,地区,公司名字,薪资,经验,公司类型,公司福利
物业工程技工,福州·鼓楼区·津泰路,新投怡家园,4-6K,经验不限学历不限,物业服务,提供住宿，年终奖，带薪年假，加班补助，节日福利，五险一金
档案文员,福州·鼓楼区·鼓西,中科讯,3-5K,经验不限大专,数据服务,年终奖，通讯补贴，带薪年假，全勤奖，节日福利，五险一金
台江区飞姐饮品店招聘服务员,福州·台江区·中亭街,台江区飞姐饮品店,5-8K,1年以内学历不限,食品/饮料/烟酒,
托管老师,福州·马尾区·东方名城,金晶贝尔,3-5K,经验不限大专,在线教育,
项目申报专员,福州·鼓楼区·五四路,麒尔科技,3-7K·13薪,经验不限本科,其他行业,
招残疾普工、统计文员,福州,云众动力,3-5K,经验不限学历不限,电子/半导体/集成电路,补充医疗保险，节日福利，加班补助，餐补，五险一金，员工旅游，带薪年假，年终奖，全勤奖
中级硬件工程师,福州,福州昱新,7-10K,1-3年大专,电子/半导体/集成电路,年终奖，加班补助，全勤奖，节日福利，五险一金，带薪年假，员工旅游，股票期权
朴朴招聘陈列员,福州·鼓楼区·温泉路,朴朴,5-9K·13薪,经验不限学历不限,互联网,年终奖，团建经费，股票期权，定期体检，节日福利，带薪年假
安防监控技术员,福州·晋安区·福兴投资区,盛辉物流,4-8K,1-3年中专/中技,交通/运输,高温补贴，带薪培训，员工旅游，补充医疗保险，提供食宿，年终奖，五险，节日福利
招商专员,福州·仓山区·金山,福大自动化,6-8K,经验不限本科,贸易/进出口,加班补助，试用期一对一，年终奖，带薪年假，节日福利
3D建模师,福州·仓山区·金山浦上工业区,兜乐科技,6-11K·13薪,1-3年大专,移动互联网,餐补，节日福利，加班补助，年终奖，零食下午茶，交通补助，全勤奖，五险一金，股票期权
OMS/ERP初级实施顾问,福州·台江区·台江万达,上海百胜软件,10-15K,3-5年本科,计算机软件,员工旅游，全勤奖，定期体检，零食下午茶，带薪年假，股票期权，五险一金，年终奖，节日福利
软件工程师（高级JAVA）,福州·闽侯县·福州师范大学（旗山校区）,东西乐活科技,15-23K·13薪,5-10年本科,互联网,定期体检，餐补，员工旅游，带薪年假，加班补助，全勤奖，零食下午茶，年终奖，五险一金，节日福利
会所主管,福州·鼓楼区·黎明,达康健康,5-7K,1-3年学历不限,酒店,
销售经理/代表-福州,福州·晋安区·象园,埃蒙迪,8-13K·13薪,1-3年大专,医疗设备/器械,免费班车，五险一金，员工旅游，节日福利，年终奖，零食下午茶，带薪年假
主播,福州·鼓楼区·津泰路,好未来,15-25K·13薪,经验不限大专,互联网,补充医疗保险，定期体检，年终奖，商业保险，五险一金，全勤奖，节日福利，带薪年假，购房福利，餐补，不定期培训
硬笔书法老师,福州·晋安区·福新路,希语,3-6K,1-3年大专,培训机构,全勤奖，包吃，零食下午茶，交通补助，员工旅游，节日福利，年终奖，加班补助，通讯补贴，餐补，住房补贴
双休高薪财税顾问,福州·晋安区·象园,财云科技,6-10K,经验不限学历不限,财务/审计/税务,员工旅游，五险一金，带薪年假，节日福利，全勤奖，零食下午茶，年终奖
塔斯汀招聘服务员,福州·闽侯县·甘蔗镇,塔斯汀,3-5K,经验不限学历不限,餐饮,年终奖，团建聚餐，节日福利，员工旅游，社医保，员工优惠，零食下午茶，带薪年假，店铺投资，定期体检，生日福利
销售专员,福州·鼓楼区·古田路,福州360推广,4-9K,1年以内大专,互联网,五险，节日福利，年终奖，零食下午茶，员工旅游，带薪年假
高级客户经理,福州·台江区·斗池,永坤金行,8-12K,1-3年中专/中技,珠宝/首饰,节日福利，员工旅游，年终奖，带薪年假，股票期权，五险一金
朴朴招聘店员/营业员,福州,朴朴,5-9K,经验不限初中及以下,互联网,年终奖，股票期权，团建经费，带薪年假，节日福利，定期体检
朴朴招聘理货员,福州·鼓楼区·金牛山公园,朴朴,5-9K,经验不限学历不限,互联网,年终奖，定期体检，节日福利，股票期权，团建经费，带薪年假
研发助理，NPI导入,福州·闽侯县·新西客站,太微信息,5-8K,1-3年大专,通信/网络设备,股票期权，五险一金
技术支持工程师（福州）,福州·鼓楼区·湖前,云宏信息,10-15K,1-3年大专,计算机软件,通讯补贴，定期体检，带薪年假，节日福利，员工旅游，五险一金，年终奖，全勤奖，股票期权
神外医生,福州·鼓楼区·西洪路,三博福能脑科医院,11-22K,经验不限硕士,医疗/护理/卫生,节日福利，餐补，带薪年假，年终奖，五险一金，定期体检
销售代表（新零售-福州）,福州·仓山区·金山浦上工业区,华润雪花啤酒,8-10K·13薪,1-3年本科,食品/饮料/烟酒,五险一金，年终奖，交通补助，补充医疗保险，通讯补贴，免费工装，绩效奖金，节日福利，带薪年假，定期体检，加班补助，生日福利，企业年金，餐补
软件工程师,福州,Rockchip,12-24K,在校/应届本科,智能硬件,定期体检，年终奖，节日福利，零食下午茶，带薪年假，补充医疗保险，五险一金
物理老师,福州·鼓楼区·五四路,百来思,6-10K,经验不限本科,培训机构,
跨境文案专员,福州·仓山区·金山,见苏家居,4-9K,经验不限本科,贸易/进出口,生日福利，团建聚餐，绩效奖金，带薪年假，员工旅游，保底工资，节日福利
隽荣招聘服务员,福州·仓山区·金山工业区福湾片,隽荣,4-5K,经验不限学历不限,其他服务业,年终奖，五险一金，零食下午茶，节日福利，员工旅游，带薪年假
广鑫钢绳索具招聘供应链专员,福州,广鑫钢绳索具,4-6K,1年以内学历不限,原材料及加工/模具,员工旅游，节日福利，年终奖，餐补，全勤奖，带薪年假，五险一金，定期体检
预算主管,福州·台江区·宁化,骐福建筑,8-12K,5-10年本科,工程施工,餐补，带薪年假，节日福利，年终奖，五险一金，补充医疗保险
福州市煜点招聘普工/操作工,福州·福清市·福清万达,福州市煜点,5-6K,经验不限学历不限,广播/影视,
美术老师,福州·马尾区·名城港湾,一家美术夏加儿教育,4-6K,经验不限本科,培训机构,住房补贴，节日福利，年终奖，通讯补贴，全勤奖，五险一金
匠铸招聘导购,福州·鼓楼区·鼓西,匠铸,5-8K,1-3年高中,珠宝/首饰,
人综专员（SSC）,福州·台江区·中亭街,朴朴,5-8K,1-3年本科,互联网,团建经费，股票期权，年终奖，定期体检，节日福利，带薪年假
短视频文案,福州·鼓楼区·黎明,嘴角向上,4-8K,1年以内本科,文化/体育/娱乐,五险一金，年终奖，定期体检，零食下午茶，带薪年假，员工旅游，节日福利，股票期权
跨境电商选品专员,福州·台江区·鳌峰,福建日不落,4-9K·13薪,经验不限学历不限,电子商务,加班补助，年终奖，全勤奖
项目助理,福州·鼓楼区·东街口,海存量数据,4-8K,1-3年大专,运营商/增值服务,补充医疗保险，五险一金，加班补助，带薪年假
✨双休线上客服✨,福州·闽侯县·新西客站,红万家科技,5-8K,1-3年中专/中技,广告/公关/会展,加班补助，零食下午茶，补充医疗保险，五险一金，带薪年假，节日福利，住房补贴
Web三维研发工程师（3D WebGIS方向）,福州·闽侯县·新西客站,雾实科技,9-13K,1-3年本科,互联网,年终奖，带薪年假，员工旅游，加班补助，定期体检，节日福利，餐补，五险一金，零食下午茶
大数据实施工程师,福州·仓山区·金山,弘扬软件,8-13K·13薪,3-5年大专,计算机软件,定期体检，加班补助，电脑补贴，补充医疗保险，员工旅游，生日福利，交通补助，节日福利，过节费，通讯补贴，带薪年假，司龄补贴，年终奖，高温福利，五险一金
云盛腾达科技招聘送餐员,福州·仓山区·金山浦上工业区,云盛腾达科技,7-9K,经验不限学历不限,新零售,全勤奖
活动策划,福州·仓山区·金山,映城网络,6-10K,1-3年大专,媒体,员工旅游，交通补助，五险一金，加班补助，年终奖，餐补
投融资合伙人,福州·鼓楼区·黎明,阿尔特咨询,15-20K,经验不限本科,咨询,带薪年假，五险一金，年终奖，股票期权，员工旅游，加班补助
实施工程师,福州·鼓楼区·铜盘,慧政通,5-8K·14薪,1-3年大专,计算机软件,餐补，节日福利，定期体检，五险一金，通讯补贴，年终奖，员工旅游，带薪年假，生日派对，交通补助，补充医疗保险
APP测试工程师（双休+五险一金）,福州·仓山区·金山,灰度科技,6-10K,1-3年大专,移动互联网,带薪年假，餐补，节日福利，零食下午茶，五险一金，员工旅游，交通补助，加班补助，年终奖，电脑补贴
写字楼管理员,福州,信和,3-4K,1-3年中专/中技,物业服务,员工旅游，五险一金，餐补，带薪年假，加班补助，节日福利
销售顾问,福州·闽侯县·信通购物中心,宏信集团福建区域,3-8K,1-3年大专,4S店/后市场,通讯补贴，补充医疗保险，定期体检，餐补，年终奖，员工旅游，五险一金，加班补助
信用卡销售,福州·晋安区·岳峰,招商银行信用卡中心,9-14K,经验不限大专,互联网金融,补充医疗保险，带薪年假，交通补助，定期体检，员工旅游，年终奖，五险一金，餐补，节日福利
在线客服无压力（大平台发展+五险一金）,福州·台江区·达道,朴朴,5-7K·13薪,经验不限中专/中技,互联网,节日福利，定期体检，年终奖，股票期权，团建经费，带薪年假
客服专员,福州·台江区·中亭街,朴朴,5-7K,经验不限学历不限,互联网,团建经费，股票期权，节日福利，带薪年假，年终奖，定期体检
维保领班/主管,福州,融成物业,3-4K,1年以内学历不限,物业服务,
研究项目执行督导,福州·台江区·融侨中心,石声未来,4-8K,经验不限大专,数据服务,年终奖，十三薪，出差补贴，项目提成，节日福利，带薪年假，五险一金，零食下午茶
小学语文教师,福州·台江区·台江万达,华伦中学,6-8K·13薪,1-3年本科,院校,五险一金，带薪年假，员工旅游，包吃，加班补助，节日福利
直播场控,福州·仓山区·金山,茶米电商,4-8K,经验不限大专,电子商务,全勤奖，节日福利
中级数据开发工程师,福州·鼓楼区·古田路,新意科技,10-15K·14薪,3-5年本科,计算机软件,六险一金，带薪年假，年终奖，节日福利，定期体检
设计师助理,福州·仓山区·金山,上行维度设计,3-8K,在校/应届学历不限,装修装饰,零食下午茶
产品运营工程师（产品运营项目管理）,福州·鼓楼区·东街口,文达森,8-13K,1-3年本科,移动互联网,
花型设计师,福州·长乐区·长乐机场,航港针织,10-15K,经验不限本科,服装/纺织/皮革,年终奖，宿舍有空调，有无线网，全勤奖，节日福利，五险一金，包住，带薪年假，包吃，员工旅游
java工程师,福州·鼓楼区·东街口,环行,5-6K·13薪,1-3年大专,移动互联网,节日福利，年终奖，餐补，员工旅游，补充医疗保险，五险一金，通讯补贴，交通补助，加班补助
Flash设计师,福州·鼓楼区·黎明,造梦空间,5-8K,经验不限学历不限,文化/体育/娱乐,
水都之嘉便利店招聘店员/营业员,福州·仓山区·江南水都,水都之嘉便利店,3-4K,经验不限学历不限,其他服务业,
品牌文案策划,福州·仓山区·浦上,瑞吉尔集团,5-8K,1-3年大专,其他服务业,带薪年假，员工旅游，节日福利，零食下午茶
客服接待员,福州·仓山区·火车南站,万科物业,5-6K,经验不限学历不限,生活服务,定期体检，交通补助，补充医疗保险，带薪年假，年终奖，通讯补贴，加班补助，五险一金，节日福利，全勤奖，餐补
高中政治教师,福州·闽侯县·正荣财富,高新区闽文培训学校,6-11K,3-5年本科,培训机构,
运维工程师,福州·晋安区·福兴投资区,喜相逢集团有限公司,8-12K,经验不限本科,其他服务业,定期体检，带薪年假，补充医疗保险，加班补助，节日福利，通讯补贴，餐补，五险一金，零食下午茶
科泰德招聘切割工,福州,科泰德,6-7K,经验不限中专/中技,其他行业,全勤奖，交通补助，五险一金，员工旅游，年终奖，带薪年假，加班补助，节日福利
效果图设计师,福州·晋安区·东二环泰禾,一十木米装饰设计,10-15K·13薪,1-3年学历不限,装修装饰,零食下午茶，员工旅游，带薪年假，年终奖，节日福利，全勤奖，五险一金，加班补助
装饰水电施工员,福州·晋安区·台江万达,玖沣泰,8-10K,10年以上学历不限,装修装饰,五险一金
安卓SDK研发工程师,福州·鼓楼区·铜盘,联迪商用,10-15K,经验不限本科,智能硬件,全勤奖，年终奖，定期体检，节日福利，通讯补贴，员工旅游，带薪年假，餐补，补充医疗保险，五险一金
江鱼儿餐饮店招聘餐饮店长,福州·仓山区·火车南站,江鱼儿餐饮店,7-10K,1-3年高中,餐饮,节日福利，住房补贴，全勤奖，员工旅游，加班补助，年终奖，包吃
网络推广总监,福州,思博网络,25-30K,5-10年大专,在线教育,员工旅游，年终奖，带薪年假，五险一金，节日福利，期权股份，零食下午茶，通讯补贴
客户经理,福州·台江区·茶亭,中航证券有限公司...,6-10K,1-3年大专,证券/期货,
活动运营,福州·晋安区·鼓山,星火云科,6-11K,经验不限大专,电子商务,节日福利，交通补助，加班补助，零食下午茶，年终奖，五险一金，全勤奖，员工旅游，餐补
朴朴招聘送餐员,福州·晋安区·五里亭,朴朴,8-9K,经验不限学历不限,互联网,定期体检，股票期权，节日福利，带薪年假，年终奖，团建经费
硬笔书法老师,福州·晋安区·东二环泰禾,星田艺术教育,3-8K,1年以内大专,培训机构,
兼职小学语文老师,福州·鼓楼区·东街口,守维教育科技,7-8K,3-5年本科,培训机构,住房补贴，带薪年假，零食下午茶，年终奖，加班补助，节日福利，餐补，股票期权，五险一金，交通补助，通讯补贴，员工旅游
医生,福州·晋安区·五四北,胡略成诊所,9-10K,5-10年大专,医疗/护理/卫生,
物业项目主管,福州·仓山区·金山,创优加,4-6K,3-5年大专,其他服务业,
生产主管,福州·闽侯县·青口,凤凰工艺,5-8K,1年以内中专/中技,家具/家电/家居,年终奖，住房补贴，补充医疗保险，包吃，加班补助，全勤奖
海外广告投放经理,福州·台江区·万象城,墨家互娱,10-15K,1-3年大专,游戏,带薪年假，五险一金
小学数学老师,福州·台江区·台江万达,华伦中学,6-11K,经验不限学历不限,院校,五险一金，包吃，员工旅游，加班补助，带薪年假，节日福利
【鼓楼区】市场经理,福州·台江区·万象城,福州顺丰,8-13K·13薪,1-3年大专,物流/仓储,五险一金，餐补，带薪年假，加班补助，年终奖
网店美工,福州·福清市·福清万达,百越,3-6K,经验不限学历不限,批发/零售,每月团建
零售营运支持专家,福州·仓山区·螺洲,福州智零科技有限公司,10-15K,3-5年大专,批发/零售,
思义公司招聘叉车工,福州,思义公司,6-7K,1年以内学历不限,回收/维修,
制衣QC,福州,心之阳,5-6K·13薪,1-3年高中,贸易/进出口,员工旅游，餐补，股票期权，带薪年假，五险一金，通讯补贴，定期体检，年终奖
灌溉工程师,福州,大丰收灌溉,4-8K,经验不限中专/中技,农/林/牧/渔,年终奖，全勤奖，零食下午茶，带薪年假，员工旅游，补充医疗保险，节日福利
餐饮运营总监,福州·晋安区·世欧王庄,悦港琴湾,20-40K,10年以上学历不限,生活服务,住房补贴，包吃，带薪年假，节日福利，加班补助，年终奖，全勤奖
主播助理/主播运营,福州·仓山区·金山,浩凡网络,5-10K,经验不限学历不限,移动互联网,通讯补贴，员工旅游，带薪年假，节日福利，年终奖，全勤奖，交通补助，五险一金
久号餐饮招聘餐饮店长,福州·仓山区·金山工业区福湾片,久号餐饮,10-15K,3-5年中专/中技,生活服务,带薪年假，员工旅游，包吃，加班补助，节日福利，餐补，全勤奖，股票期权，年终奖，定期体检
服装设计,福州·晋安区·台江万达,绣裳坊,3-5K,1年以内大专,服装/纺织/皮革,年终奖，补充医疗保险，五险一金，全勤奖，加班补助
临床协调员/临床研究护士（CRC）-福州,福州·鼓楼区·古田路,泰格医药,6-8K·14薪,1-3年本科,医疗健康,带薪年假，餐补，年终奖，六险一金，股票期权，交通补助，定期体检，节日福利，补充医疗保险，零食下午茶，通讯补贴，员工旅游
资深平面设计师,福州·鼓楼区·西湖公园,福旅文博,7-10K,3-5年大专,广告/公关/会展,全勤奖，定期体检，生日礼券，带薪年假，五险一金，年终奖，节日福利
区域销售经理,福州·台江区·义洲,华聪药业,5-10K,经验不限学历不限,制药,全勤奖，包吃，五险一金，年终奖
财务经理 10-20k+周末双休,福州·闽侯县·新西客站,悠悠电商,10-15K,3-5年本科,电子商务,员工旅游，全勤奖，交通补助，节日福利，学历补贴，零食下午茶，五险，年终奖，住房补贴，带薪年假
自动化工程师技术,福州·闽侯县·正荣财富,中海德,6-11K,1-3年大专,仪器仪表/工业自动化,员工旅游，全勤奖，年终奖，节日福利，零食下午茶，五险一金，带薪年假，通讯补贴，额外福利
淘宝美工实习/电商美工实习生,福州,邦护贸易,4-6K,经验不限大专,电子商务,
电话销售,福州·台江区·融侨中心,福州好日子装饰,10-15K,经验不限中专/中技,工程施工,
深度学习算法工程师,福州·鼓楼区·西禅寺,帝视科技,12-20K·14薪,1-3年本科,计算机软件,员工旅游，带薪年假，零食大礼包，节日福利，定期体检，补充医疗保险，年终奖，培训，五险一金，生日福利，股票期权，餐补
万科房产经纪人+六险一金+朝九晚七,福州·台江区·台江万达,万科物业服务有限公司,5-10K·13薪,1-3年中专/中技,其他服务业,补充医疗保险，带薪年假，餐补，节日福利，五险一金，定期体检，通讯补贴
市政预算员,福州·台江区·中亭街,屹城集团,6-9K,3-5年大专,工程施工,
移动客服,福州·鼓楼区·古田路,福建诺亿信息,4-7K,经验不限中专/中技,电子商务,年终奖，通讯补贴，全勤奖，交通补助
口腔护士,福州·仓山区·红星爱琴海广场,伽禾伽美,4-6K,1年以内中专/中技,医疗/护理/卫生,带薪年假，五险一金，定期体检，提供住宿，节日福利，餐补
销售代表,福州·鼓楼区·水部,福州360推广,8-12K,经验不限学历不限,互联网,零食下午茶，五险，年终奖，带薪年假，节日福利，员工旅游
培训师,福州·台江区·台江万达,庭安防火,10-13K,经验不限学历不限,培训机构,全勤奖，加班补助，年终奖，住房补贴，员工旅游，股票期权，五险一金，带薪年假，交通补助
幕墙采购经理,福州,中原一建,8-13K,经验不限本科,工程施工,节日福利，年终奖，带薪年假，餐补，补充医疗保险，员工旅游，交通补助，五险一金，定期体检
人力资源专员/助理,福州·鼓楼区·蒙古营,融易算,4-7K,经验不限大专,其他服务业,
冠业集团招聘防损员,福州·台江区·台江万达,冠业集团,5-8K,3-5年大专,批发/零售,五险，年终奖，节日福利，带薪年假，餐补，全勤奖
前台,福州·晋安区·东二环泰禾,沐丰健康管理,5-6K,经验不限学历不限,休闲/娱乐,
英语教师（三荷精品培训学校）,福州·鼓楼区·蒙古营,三荷培训,7-9K,经验不限大专,培训机构,包吃，带薪寒暑假，定期体检，五险一金，全勤奖，年终奖，带薪年假
朴朴招聘店员/营业员,福州,朴朴,15-25元/时,经验不限学历不限,互联网,节日福利，带薪年假，股票期权，年终奖，团建经费，定期体检
兼职或全职物理老师,福州·台江区·台江万达,锐思教育,8-9K,1-3年本科,培训机构,年终奖，节日福利，定期体检，零食下午茶，员工宿舍，五险一金，带薪年假，股票期权，员工旅游
项目经理,福州·长乐区·长乐,徐州煜勋,15-25K,5-10年大专,工程施工,
供应商质量管理工程师（SQE工程师）,福州·马尾区·罗星,飞毛腿动力科技,7-11K,1-3年本科,智能硬件,节日福利，加班补助，员工旅游，定期体检，年终奖，五险一金，包吃，住房补贴，免费班车，通讯补贴，带薪年假，全勤奖
淘气堡招聘服务员,福州·马尾区·罗星,淘气堡,3-4K,经验不限学历不限,其他服务业,
采购专员（高新区十三薪）,福州·闽侯县·新西客站,塔斯汀,5-6K·13薪,1-3年大专,餐饮,带薪年假，店铺投资，团建聚餐，社医保，零食下午茶，定期体检，节日福利，员工旅游，生日福利，年终奖，员工优惠
全国运营总监,福州·闽侯县·新西客站,塔斯汀,15-20K,3-5年本科,餐饮,带薪年假，零食下午茶，生日福利，节日福利，团建聚餐，员工旅游，店铺投资，社医保，年终奖，员工优惠，定期体检
生产管理主管,福州·闽侯县·新西客站,浩蓝光电,8-11K,1-3年中专/中技,专利/商标/知识产权,股票期权，全勤奖，年终奖，带薪年假，节日福利，住房补贴，五险一金，餐补，加班补助，员工旅游
主办会计--福清,福州,三渔养殖,6-8K,3-5年大专,农/林/牧/渔,年终奖，加班补助，餐补，定期体检，交通补助，住房补贴，包吃，通讯补贴，补充医疗保险，带薪年假，节日福利，五险一金，股票期权
Java开发工程师,福州·闽侯县·建新,清控有数,9-12K,3-5年本科,计算机软件,员工旅游，股票期权，年终奖，带薪年假，五险一金，定期体检，差旅补贴
小学教师,福州,智学乐盟,3-6K,经验不限大专,学前教育,包吃，五险一金，年终奖，包住，带薪年假
BIM工程师,福州·晋安区·五里亭,左海科技,8-12K,3-5年大专,建筑设计,生日福利，五险一金，带薪年假，节日福利
区域负责人(辖多个分公司),福州·闽侯县·甘蔗镇,贝奇食品,8-13K,1年以内大专,食品/饮料/烟酒,年终奖，加班补助，免费班车，包吃，节日福利，带薪年假
软件测试工程师,福州·闽侯县·新西客站,升腾,9-14K·13薪,3-5年本科,计算机软件,员工旅游，交通补助，年终奖，补充医疗保险，节日福利，五险一金，定期体检，加班补助，餐补，带薪年假，通讯补贴
Java开发工程师,福州·闽侯县·新西客站,福建星网锐捷通讯...,7-10K·14薪,经验不限本科,通信/网络设备,带薪年假，年终奖，餐补，节日福利，五险一金，定期体检
平潭销售早九晚六+双休,福州·平潭县·平潭县中心城区,福州快点办商务服务,5-10K,1-3年中专/中技,企业服务,股票期权，节日福利，全勤奖，员工旅游，零食下午茶，年终奖，带薪年假
食品供应链主管（兼职）,福州·晋安区·火车站,小糖互联,6000-7000元/月,5-10年本科,移动互联网,员工旅游，补充医疗保险，节日福利，零食下午茶，股票期权，定期体检，五险一金，带薪年假
工艺工程师,福州·马尾区·名城港湾,星云电子,8-12K·13薪,1-3年大专,智能硬件,年终奖，全勤奖，定期体检，节日福利，带薪年假，股票期权，加班补助，提供员工宿舍，免费班车，员工旅游，餐补，补充医疗保险，通讯补贴，五险一金
