user,time,score,content
上东城97,2022-06-26 23:51,5,龟峰风景名胜区很像，我一定会再去看！
danxingge,2022-06-23 21:15,5,丹霞地貌，两个小时左右游玩。
gudequ,2022-06-21 07:19,5,龟峰位于江西省弋阳县境内，风景怡人
elsashen0529,2022-06-16 17:55,5,今天驱车四十多公里来到上饶市弋阳县境内的“世界自然遗产”、国家级地质公园龟峰（亦称圭峰）一游。与附近的以花岗岩为主体的灵山不同，这里是典型的丹霞地貌，数十座铁钙质混合胶结的红色砂砾岩山体构成了龟峰景区奇异的景观。这里“无山不龟，无石不龟”，且数座山体都像一只硕大无比的昂首巨龟，龟峰由此而得名。这里每座山高度并不高，主峰才高三百多米，但大热天沿陡峭的栈道在几座山之间上上下下着实锻炼脚力，不过得知徐霞客游完浙江雁荡山来到这里说了一句“盖龟峰峦嶂之奇，雁荡所无。”便也觉不虚此行。
法漾漾,2022-05-29 23:49,5,很不错的地方，希望疫情过去后能再去看看。
Annie- Sally,2022-05-27 20:28,5,这里的风景环境非常不错呢…………
139****9779,2022-05-18 08:45,5,"【景色】
【趣味】
【性价比】好去处，喜欢旅游的小伙伴们快来加入吧"
09****775,2022-05-14 23:51,5,龟峰发育于距今1.35亿年的白垩纪晚期，是雨水侵蚀型老年期丹霞峰林地貌的典型代表。地貌形态以峰林、陡崖、方山、石墙、石柱、石峰为特征，崖壁两侧雨水侵蚀型纵向线性沟槽发育，岩溶弱；微地貌景观及其景观组合以珍稀的丹霞造型石峰、石柱等为特色，保存有壮年期丹霞地貌的遗迹。
M36****815,2022-05-05 19:36,5,龟峰，又称圭峰，是世界地质公园龙虎山—龟峰地质公园和世界自然遗产“中国丹霞”的组成部分
冰是凝固了的水,2022-04-20 15:00,5,这里还是可以去下的，我是16年去过一次
木木陌陌,2022-04-18 17:28,5,龟峰风景名胜区位于江西省上饶市横峰县境内，独特的岩石地貌，栩栩如生的景象，值得打卡。
M16****216,2022-04-03 23:08,5,这里很值得一去，风景优美，大自然最美丽的风景…………
酷到票的姑娘,2022-04-01 21:05,5,"栩栩如生
景色宜人
环境、服务很好👍"
danxingge,2022-03-26 23:14,5,属于丹霞地貌，山不是很高，还行。
上东城97,2022-03-24 17:20,5,龟峰风景名胜区好啊，我一定会再去看！
hpzhyj,2022-03-19 22:05,4,的确是挺漂亮的，很有意境，挺不错的
M49****100,2022-02-10 17:45,5,旅行愉快，整体不错
多年以后yc,2021-12-13 21:43,5,丹霞地貌和龟型地表结构，在有云雾的天气下看像海龟出海
见人大一辈,2021-11-26 11:08,5,景美人少，值得一看
M49****0655,2021-11-25 14:45,5,挺不错的地方
多年以后yc,2021-11-08 18:32,5,丹霞地貌，天然造型，让这里的石峰千奇百态，老人峰，三叠龟，龟背石等，让这里的石头充满诱惑。
s j j s y 20210115,2021-10-31 20:37,5,"江西弋阳&quot;龟峰&quot;景区，天气啨好多云，很适合老年人观景游山玩水，游客中心座观光车，进入景区里面爬山，海拔最高点320米（玻璃栈道）游玩景区，乘坐观光游游轮，游览龟峰的水面景区。
【景色】好
【趣味】可以
【性价比】高"
Cium阿飞,2021-10-04 11:14,5,典型的丹霞地貌，景点相对集中，玻璃栈道体验感也不错要是再长点就更好啦哈哈😃，不枉此行。
M26****1018,2021-10-03 10:16,4,票价比现场贵20，不要携程上买
nj海虹,2021-10-02 10:03,5,世界自然遗产，有着江上龟峰天下稀与天然盆景之称。
龙界vs至尊,2021-09-23 15:40,5,江西境内的几个著名丹霞地貌之一，找了个机会去欣赏一番。大自然的鬼斧，雕刻万般形态。很喜欢这种自然风光！
M40****386,2021-08-10 12:27,5,好很好，非常好
lzh5566zj,2021-07-14 21:10,5,非常的不错，挺好的，让人流连忘返。
入寺杀我,2021-07-09 23:44,5,龟峰景区原先是不太出名，现在渐渐热了起来，喀斯特地貌，景区不是太大，但是值得一来，尤其是阳气十足的擎天一柱，多少男女心神欲往
zxsshsj,2021-06-12 08:58,5,龟峰离弋阳很近，坐K2路车过去，景区绕龟峰开发了一圈木栈道，还有玻璃栈道。性价比高，总体超赞，有趣好玩，景色不错，也是五A景点。
小萍7310,2021-05-26 23:47,5,景点虽然名气不大，但不虚之行。风景秀丽独特，门票价格合理，景区规划也到位。适逢晴好天气，山上能见度不错，一圈逛下来也不会太累，值得推荐！
良民老K,2021-05-14 17:21,5,不知是因为宣传力度不够，如此大美景色竟不为人所知，各色龟状奇石遍布山野、形状怪异引无边遐想，登山也不算太累，就是金钟峰和骆驼峰陡峭一些，与同为丹霞地貌的龙虎山、武夷山相比更有特色，又恰逢好天气，真是不虚此行。
M27****840,2021-05-06 10:32,4,连续三年第三次游玩了，每年一次，可能玩的太多次了失去了新鲜感，感觉没有之前那么好玩了。随行带的老人小孩一起，他们爬的吃力。游船等待时间略久且没有人维持秩序。
M10****719,2021-05-04 15:02,4,龟峰景色很美，很值一游。但是管理非常差，登船处竟然没有设置分流栏杆，人挤人毫无秩序和安全，五一期间接待力严重不足让游客在三十多度的大热天汗流浃背等待一个多小时，还无法走回头路。二十分钟左右景色一般的水上行程要80元的船票感觉就是忽悠宰客。
与你携手游山水,2021-05-04 14:06,4,如果只是来爬爬山运动一下，可以来尝试一下下，如果专门欣赏风景，那还是可以想一想值不值得来。每一巨石纯靠你的想象：老鹰抓小鸡、仰天微笑的***、如来佛大足印、十八罗汉、老人峰、李时珍采药，当然还有各式各样的龟，全凭个人的想象。
M46****4271,2021-05-03 15:35,4,景色不错，山硬朗，水清澈，就是渡船等了半个小时，并非人多，而是中午12点船工在吃饭，那游客呢？
M29****3637,2021-05-03 11:33,5,景色不错，绝壁栈道很刺激!有趣好玩，玻璃栈道惊险，胆小者走里边也可顺利通过。
爬山老虎,2021-04-24 07:05,5,风景这边独好，超级漂亮，很是值得一游！
155****9158,2021-04-13 19:16,5,景色美，售票员、景交司机都很热情，主动告诉游览要点
jm801016,2021-04-11 20:53,5,非常适合旅游旺季出行，比如五一国庆
FateFireFade,2021-04-06 17:05,4,爬山爬山爬山，景色不错，玻璃栈道挺长的，有些探险道路不能上。
蕙质兰心蕙质兰心,2021-04-03 21:11,5,龟峰东距上饶60km，西距鹰潭35km，地处三清山、龙虎山和武夷山之间，是世界自然遗产“中国丹霞”的组成部分。在山上游览可以5个多小时，看尽山中秀美景色，也能够体验华东最长的百米玻璃栈道的惊险与刺激。
风筝在飞翔,2021-04-03 01:07,5,非常值得去看一看，奇峰异石，鳞次栉比，龙行虎踞，山水相依，是一处难得的天然雕刻馆。最好能亲身爬险峰，亲眼看龟爷龟儿龟孙，相当有趣
博士小美女,2021-04-02 18:22,5,龟峰景区位于江西省上饶市弋阳县城南，因境内有众多形似乌龟的山体和岩石得名。龟峰发育于距今1.35亿年的白垩纪晚期，是雨水侵蚀型老年期丹霞峰林地貌的典型代表。地貌形态以峰林、陡崖、方山、石墙、石柱、石峰为特征，崖壁两侧雨水侵蚀型纵向线性沟槽发育，岩溶弱；微地貌景观及其景观组合以珍稀的丹霞造型石峰、石柱等为特色，保存有壮年期丹霞地貌的遗迹
伊特蓝海姆司马颖,2021-03-28 15:41,5,丹霞地貌，景色还不错。空气很好。但是爬上骆驼峰的路被封了。整个行程下来，四个多小时，还算轻松。但是游船只有一艘船，要等半小时，工作人员说大概能坐40人左右。后来我等的那艘船只上25人。没有排上号的又要等半小时。这个有点太浪费时间了，游船的趣味性、观赏性等也很一般。不值得！
za****o,2021-03-18 23:54,5,龟峰这个景点非常有特色是典型的喀斯特地貌，一圈逛了下来既不会觉得爬山太无聊，也不会感觉无趣总之还是非常值得一去的好地方推荐买套票不走回头路。
320****171,2021-03-10 14:18,5,有趣好玩，性价比高，景色不错，总体超赞，
精彩的臭虫,2021-02-27 18:39,4,通过平台预定的门票，到了景区以后发现被我一个包场了。摆渡车将我一人送到登山口，打了电话后，游船将我从湖边接回，景色也不错，当天风有点大，景区人员还多次提醒我注意安全，总体评价不错。
纳2,2021-02-18 19:20,5,很不错虽然累还是有收获的哦......
danxingge,2021-01-04 13:01,5,丹霞地貌，还不错，玩下来四个小时够了。
踏遍足迹,2021-01-04 11:55,5,龟峰属于5A景点，风景迷人，像龟很形象！很不错！赞👍还能乘船！有点像桂林山水甲天下的感觉！天气也很好！一个人慢慢走、慢慢爬！5个小时！
风筝在飞翔,2020-12-23 21:08,5,值得一游，奇特的地址环境，增长知识的同时开阔了眼界，值得推荐！形态各异的山石是大自然的造化鬼斧神工。爬起来不累，服务设施很到位。
风筝在飞翔,2020-12-18 12:19,5,龟峰虽不算是“名山大川”，但是风景奇秀，变化万千，龙形虎势，别有不同！路过鹰潭弋阳，千万不要错过这一明代大旅行家徐霞客都赞叹不已的盛景。
_M13****2945,2020-12-13 16:11,5,"龟峰是被低估了的五A景区，景色好，服务好，管理好。当然票价贵。
另外，弋阳县城也很好。"
110****282,2020-11-29 11:06,5,龟峰的景色非常好，而且没什么游客，可能位置有点偏，爬山全程需要3-4小时，但是还是值得的！不爬山的话一大半景色是看不到的
ca****x76,2020-11-23 21:11,4,以前从未听说，后来经朋友推荐来了这里，总体感觉还是很好，景色挺独特，就是管理上差了些，游船等了四五十分钟才过来接人，大冷天里实在让人难以接受
E24****12,2020-11-20 10:45,4,坐船风景少，船中间也不停留，不得不坐，不然得原路返回。设计不合理，有强制消费轮船嫌疑。
203****593,2020-11-14 16:19,5,风景秀丽风光无限
南+宝🧿,2020-11-10 21:08,4,性价比一般，那个景区车个船真的很鸡肋。景区设施完善，风景优美，走走要4-5小时
M33****4826,2020-11-10 09:13,5,丹霞地貌景色，风景还是很不错，游客不多，玻璃栈道还免费，老人门票免，可是车船费还要70元，正常4个小时结束，我们走了6个小时整个玩了一大圈下来。骆驼峰下山台阶较多而陡，需要30分钟，有1400多米距离，到山下还要走10多分钟才到乘船处。
M43****0998,2020-11-09 14:40,5,五彩的山体，似曾相识，与武夷山同为丹霞地貌，砂岩因风蚀形成了奇峰，异型，可以发挥自己的想象力。由于膝盖不好，怕损伤膝盖，我们慢慢爬，总共花了五，六个小时绕了一大圈，还有玻璃栈道，真的很美，值得一游！就是70块钱游船和观光车，有点小贵。
M27****840,2020-11-05 16:20,5,时隔一年之后第二次游玩龟峰景区，人依然很少，游玩体验很好。这次四人，因为有两人比较慢，全程从进景区到出景区玩下来用了5小时。
鼎天立地,2020-10-30 18:45,4,景色不错，市区有2路公交车到景区，打车40元留好司机师傅电话，用车方便些，门票160元，网上有优惠，来回三个半小时，下山可以坐玻璃滑道，40元，总体风景不错，而且人很少。
子龙糖糖,2020-10-28 19:57,5,龟峰提前在网上买可以优惠十块钱，进门就是景区交通车，送到里面开始爬栈道，一步一景，风景挺好的，最后从骆驼峰下山坐船出景区，挺好的啊！
_ZFB****23423,2020-10-27 18:12,5,风景绝对秀丽，我之前去的武当山和龙虎山好多了
坐着板凳打冷风,2020-10-21 18:40,5,弋阳本地人去门票真便宜～我以前德学校就是隔壁～
一土游民,2020-10-11 16:12,5,很值得一游的丹霞地貌景区，景色很美，看山看水，以前是江西省的休闲疗养所在地，国庆假期第二天，游客不是很多，体检很好，玻璃栈道还免费，非常的好，感觉门票有点贵，全程走下来花了五个小时。
war****nie,2020-10-09 23:40,5,龟峰是个挺特别的山群。我们两大两小，跟着景区导游，3个小时玩完了全程。下山有个长长的滑梯有些特色，孩子们玩得很开心。景区内洗手间很干净。出景区的船等待的时间有些长，这点不太满意。
M29****4717,2020-10-09 16:20,5,国庆前一天游玩，人也不多，景色超美，云游江西上领的学子卡，可到了景区竟然无法核销，虽然最终解决了，但浪费了近一个小时时间，不过这并不影响我们欣赏美景！
爱冒险的丫丫,2020-10-08 19:20,5,很值得去！
205****659,2020-10-08 12:46,5,丹霞地貌，奇峰造型，中等强度体力，游玩半天即可，强力推荐旅游景点。
M46****310,2020-10-07 17:38,5,"登山基本是陡一段缓一段，不会太累，建议带上登山杖，一路上风景优美，丹霞险峰值得一游。
景色不错，体验很好，值得推荐，有趣好玩，"
M61****213,2020-10-06 22:35,5,这是个非常棒的景区，虽然登山很累，但景色出奇的好，值得推荐值得推荐，！
M48****190,2020-10-06 16:32,5,带着5岁的宝贝4小时拿下龟峰，上面有点陡，爬到了玻璃栈道可以坐滑道下来，我们选择徒步下来，下来稍微好点，但是有两个地方也相当陡！玻璃栈道长150米……下来可以坐10分钟船欣赏风景……人挺多的，今年国庆比往年人多……
lanxiang18,2020-10-06 01:03,4,景色不错，体验很好，
FLUGLERS,2020-10-04 04:50,4,这个景区比较新，5A没几年，可玩的比较单调，没有历史、人文底蕴，也没有表演、展陈互动。但是管理规范，景区很干净。国庆期间玉兔峰、金钟峰等没护栏的地方都没开。
AnneSherry,2020-10-03 17:31,5,龟峰真的很像
溜溜球的爸比,2020-09-08 20:23,5,景色不错，体验很好，值得推荐，有趣好玩，
六条壬晴,2020-08-29 21:11,4,丹霞和三清山的结合体，很漂亮，远超预期，值得一去。
hyuk youyou,2020-08-26 08:29,4,"景色不错，有点不好的是，游船后没有观光车，还要走一段路才到出口，炎炎夏日，这刚爬完山还带着娃真的是，汗如雨下
可以把回程的观光车票价加进去嘛"
文祥666,2020-08-24 22:42,5,还挺好看的
M14****488,2020-08-24 10:54,4,其它还好，景区唯一的败笔就是下山那个滑道，太不人性化了
320****015,2020-08-23 11:09,5,体验很好，值得推荐，景色不错，有趣好玩，
M42****4328,2020-08-15 22:36,5,门票便宜，全程走了将近5个小时，带了两个小朋友，太阳是真的大，温度是真的高，一个字，爽。
幺幺CC,2020-08-13 07:50,5,圭峰挺好，现在景点内容的挺丰富的，风景优美。支持去圭峰游玩。
M39****438,2020-08-10 09:59,4,景色不错，值得推荐，
爱吃西瓜的牧羊人,2020-08-07 23:09,5,人少，景色宜人
lyh****ei,2020-07-30 14:39,5,景色优美，值得一游
乐乐乐邦,2020-07-21 17:37,5,还可以，就是爬起来费劲
卡拉卡拉,2020-07-06 21:25,5,景区很规范，值得推荐，景色不错，各个服务点商品价钱合理，还有西瓜买，但是我是两人出游，无法买一个西瓜，有点可惜。山上的风景是真不错，和附近的龙虎山不一样的，很值得来此一游。建议大家来玩的早上一定要吃饱，这座山爬起来真的需要一些体力。
niceapple,2020-07-04 15:59,5,龟峰风景区位于江西弋阳，是方志敏烈士的故乡。景区门票160元一张，在携程购买便宜10元，龟峰风景区是典型的丹霞地貌，拍照颜色非常漂亮。先爬山，基本需要4个多小时，需要保存体力，虽说有栈道，但山上台阶还是蛮多的，走走停停拍拍照，最后下山，乘船离开景区。景区外公交站点（终点站）不明显，找车站找了一大圈，还是问了在旁边工作的人才知道，说没开进来，车子停在停车场外，结果等车等了时间很长（等了25分钟），最后还是没摒劳，叫了滴滴......（要赶火车）。
M35****8999,2020-07-03 14:03,5,江西龟峰山风景不错。值得去玩玩。提早一天在携程订票会更便宜
琳毛毛虫,2020-06-29 15:26,5,景色特别美丽，属于没有好好宣传的经典值得出游。
320****385,2020-06-14 03:23,5,景色不错，值得推荐，
木易真人,2020-05-16 12:37,5,龟峰景区位于方志敏烈士的故乡—弋阳，门票60元，车船票70元，停车15元。景区经过建设，设施较完善，景色很美，游览全程约需5小时。进入景区，乘景区交通车到锁春洞，而后步行上山。沿途有千年龟皮松、千年香樟树、千年桂树三株古树，而后是老人峰、将军楼、南天一柱、天外来客、骆驼峰等景点，而后乘游船到景区出口。下骆驼峰有玻璃滑道，收费60元，下游船到景区出口有玻璃漂流，收费60元。
M14****091,2020-04-30 17:12,5,很好，很满意
M24****3681,2020-04-18 21:16,4,龟峰比龙虎山更有看点，就是行程设计走路的环节还是有点多，对老人家和小盆友来说会有点累
一雨一彩虹,2020-02-24 17:40,5,龟峰景点真得特别美，龟峰风景名胜区有三奇，独步天下的龟形丹山之奇，奇峰处处，美不胜收；天造地设的洞穴佛龛之奇，碧水丹册，奇洞成群，；三景区为千古流传的志士仁人之奇，这是一处不可多见的人间胜境，一个魅力无穷的旅游区，一条迷人的旅游风景带。
雅典娜的秋裤,2020-02-19 13:28,5,景区一般，没有特别让人印象深刻。
爱旅行w,2019-12-13 19:58,5,这次去的时候遇到大雾，拍的照片不清晰，下次选个好天气再去，拍一次清晰度高的
_WeCh****900195,2019-12-03 20:14,5,"我带了两个三岁宝宝去玩。整个过程，非常精彩，但也超级累，不过很开心。超出预期。景点正如评论里说的那样，小而精，浓缩了爬山，玻璃栈道，游船，滑道。地貌很有特色，去玻璃栈道的路上风景秀丽壮美，但宝宝不配合，一路要抱，就很累。不过途中伴着精彩的景色也倒忘却很多烦恼。下山以后有个滑道很不错，400多米的滑滑梯，宝宝开心极了！总体来说，这个景点没有选错，非常值得游玩！
我们从苏州过来，以前玩过附近的三清山，龙虎山，总体来说，龟峰更有特色，适合一家人出行。"
138****6444,2019-12-01 21:49,5,风景秀丽景色宜人
110****017,2019-11-17 06:36,4,国庆节假日，人不多挺好的，开车过去，停车场很大，方便停车，！
201****075,2019-11-09 19:47,5,"龟峰很美，龟峰EL+486，不高，但峰如,石似,到处是龟，老子儿子孙子，骆驼峰高大崚美，很漂亮。"
风雨hy,2019-11-06 21:26,5,景区不太大，但胜在精致。沿着栈道随着山势走，有特点的丹霞也不是很多，但逼真耐看有个性。爬山也不太陡，不是太累，4个小时就可完成。携程赠送的南岩寺门票因赶火车而未成行，鸣呼！
老游尘,2019-11-05 21:12,5,风景好，值得一游！
M36****1712,2019-11-01 06:24,4,有些地方有点险哦
lxdc,2019-10-30 07:19,5,好。。。。
288****130,2019-10-29 14:53,5,路过上饶龟峰景区进来看一看，果然景色非常的迷人，山清水秀！竟然感觉这边像世外桃源，让人非常的惬意，非常的放松。这里的时间仿佛与世隔绝，停滞在这美丽的景色当中。
谢灵芝,2019-10-22 07:34,5,弋阳龟峰，一个小众的5A景区[勾引]，走完全程没有几个游客[捂脸]。不在假期出行就是这么好，人特别的少，现在秋高气爽，是出行的好天气
M22****778,2019-10-21 21:47,5,丹霞地貌不错
hsj345406,2019-10-16 08:08,4,山的形状还是很美的，不错值得一游，交通方便，景区大门还客气。
_WeCh****939924,2019-10-15 16:31,5,风景很美，值得一看。
轻快的行走脚步,2019-10-12 23:02,5,丹霞地貌的山脉，山下是湖泊，山水相连，感觉环境很不错！山上是奇峰林立，非常壮观，各种各样的巨大造型独特的石头很有看点！值得推荐的景点！
赫默尔亨普斯特德袁粲,2019-10-09 12:14,5,奇石，典型的丹霞地貌，景色怡人，游客不是很多，适合游全程。
m10****86,2019-10-06 08:26,5,5A景区服务没得说。景色也值回票价。自然遗产还是有看头。关键十一人不算多。可以比较轻松的游玩。一定要先做车爬山顺路。要不直上直下能让你累哭。
118****051,2019-10-05 19:22,5,非常值得一去的景区，适合自驾，景区服务完善，景点有特色，移步换景。丹霞地貌，五A景点门票价优，比较挑战体力，不适合老人。
心静如水88,2019-10-04 21:29,5,好玩，好玩，好玩，重要的事说三遍，推荐大家有空去玩一回，真心觉的好玩，景区不大，但风景好，玩一天足够了！
一网打尽8888,2019-10-02 21:31,5,风景不错，景区很干净，不愧为5A级景区，各类设施也很齐全，点个赞。
小瞌睡😴,2019-10-01 23:44,5,超级累，不适合老人和腿脚不好的人
滇国剑客,2019-09-28 16:44,5,其实，从另一个角度来欣赏龟峰，“缩小”了龟峰何处不是景？也正是这其中迷人的景致，才让众多游客感受到了视觉中风景的多样性。
轻快的行走脚步,2019-09-25 17:20,5,龟峰风景区非常不错，是典型的丹霞地貌，全程步行游龟峰，感受龟峰的奇松怪石，山不是很高，一览众山小，感受大自然的魅力！确实让人难忘的旅途！
乐洋洋67,2019-09-21 17:13,4,景色不错，值得游玩，建议先坐车，后面坐船，这样就不会爬很多山，不会很累。全程大约4到5小时，携程买票比景点买便宜十元，值得推荐。
艾罗洛扬雄,2019-09-18 19:37,5,整个景区不算大，游览下来大约四五个小时，游人不多，秩序井然，山势不高，游路平整，移步异景，奇观迭现，兼有山的雄浑与水的清丽，且景区布局合理，设施齐全，环境优美，不赶时间，悠然漫步期间，快乐若仙！
new****lu,2019-09-13 20:45,4,"龟峰景区标识非常清晰，尤其是岔路口，指标牌让人一目了然。对每个小景点的介绍也非常详细，而且附有相关照片，根本用不着导游。在访客中心可以拿到景区的示意图，按图上走就可以。
厕所革命也做得相当到位。
我在游程中遇到几个保洁的大爷大妈，还有售货员，对人都特别真诚，仔细解答你的疑问，提醒你要注意的事项，非常非常好。
但是影区有个最差的，就是那个游船了，浪费钱，浪费体力（走到船岸及下船后走到出口好长距离），浪费时间（班次间隔太稀了，要等好长时间）。船程非常短，我还以为可以拍到一些漂亮的相片呢，结果大失所望。这个船没有一点可取之处。忠告大家：千万不要坐船，千万不要坐船！"
M30****0018,2019-09-08 14:30,5,景区交通非常方便，就在国道边上，山也不高，但走走还是要三四个小时的，上面有玻璃栈道，免费的，游船票和景交车都是含在门票里的。
M50****843,2019-09-05 20:18,5,不错，风景优美，空气清新，值得一去
小路小鹿,2019-08-30 07:16,4,还行无峰不龟，这词概括了弋阳县龟峰风景区的石头特点
小小歪妮儿,2019-08-25 07:50,5,五一去的，很难想象，居然人不多。坐落在江西深处的4A景区，名气不大，外省人几乎都不知道，但却比庐山的风景还要好，典型的丹霞地貌，石头山，青山绿水，环境优雅，对体力要求不高，几个60岁老人都爬过了上去。
cai****9000,2019-08-12 11:53,5,一个不够地方，景区大，风景不错，人不多，不过爬山够累的，玻璃栈道险，高，长，下山不是很方便，有点堵，下山后要走一段路才到码头坐船，累，建议先坐车过来，坐船回来，要是坐船去，爬山辛苦，山高，下山人多
两次黄了3cichuyou,2019-07-23 17:31,5,挺好玩的，，，，，，，，，，，，
桐子落888,2019-07-08 18:47,5,龟峰石愧是5A级景区，山清水秀。
玩嗨了,2019-07-02 23:19,5,距龙虎山和三清山中间有一座龟峰，属弋阳地界，与龙虎山一样属丹霞世貌，其特点是无山不龟，无右不龟，进入景区你就不知不觉从众开启了找龟之旅，坐在游船上找、穿山越岭找，移步悬崖步道找，越找越有情趣。火车站2路公交直达景区门口，2路车是乡村公交，走几个村庄，招手就停，喊一声就下，行程慢价格便宜，只需2元。
