名字,评论,时间
David Gu,老君山的美，相信大家已经从各个网络渠道都看到过了。当然也一定要赶个好天气，天公如果不作美，那也看不到他的秀丽。所以来之前最好看看天气预报。 老君山的缆车分为两程，第一程务必要做，无论是中灵索道还是云景索道，都是到中天门，所以不用纠结第一程索道坐哪个，车停在那个索道下面就坐哪个！ 到了中天门，可以选择徒步爬山，三小时多到金顶道馆群。也可以继续选择坐峰林索道，到达十里画屏，再爬一小时左右的山到金顶道观群。所以来老君山想赏美景，无论怎样都要稍微费些体力的！！！ 快到金顶道观群前，路过伏牛山主峰，如果你没有无人机，又想拍下老君山的全景。这里一定要上去，虽然拍完还要下来，但是这是拍老君山全景最好的位置，好多路过的人因为累懒得上去，错过了最佳拍摄地点。 好了，重点都跟大家说了。其他那些赞美的话，我就不说了，大家可以看看其他朋友的评论。 谢谢来访！！！！！,2021-05-24
118****699,"值得一去，徒步旅游的最佳地点。追梦谷景色一般，十里画屏要必去的！旅客可根据旅游日程，合理安排体力。游玩建议：1,住宿景区农家乐，实惠，环境也不错。2,门票两天有效。",2015-10-06
diy****hi,风景优美！好似一幅美丽的画卷！,2021-03-09
老鹰在飞翔,湖北老君山在神农架主峰东北。因传说古时太上老君常在此炼丹而得名。山里的天儿说变就变，刚才还晴天呢一会儿就大雾来，啥景也瞧不见了。,2019-09-19
_CFT01****5035625,值得一去，景色特漂亮美丽，山峰比较奇特无比,2015-10-04
快乐幸福生活啊,十一放假和家人一起去的老君山，这几天天气还挺热的，不过老君山是那种有山有水的景点，山上还挺凉快的，风景也美得很，推荐大家国庆去游玩。,2019-10-02
300****028,老君山景色超级美丽，简直就是人间仙境，极力推荐大家去游玩，两段缆车后登顶不是很辛苦，一路景色美得很，非常非常值得游玩的地方！,2016-08-27
iJasper,前段时间抽空去了一次，总体令我算满意的。建议大家有空也可以去玩玩。沿着小溪，呼吸着山里独有的空气向深处进发，一群年轻的大学生遇到秋千等娱乐的设施愉快的玩耍起来，为谷里带来了欢声笑语，同时也忘记了爬山的疲惫。午饭去美美的吃了一顿豆腐宴。下午乘着索道到山上，大概需要两个小时，也可以选择徒步爬上，但需要5个多小时。随后沿十里的穿云栈道望去都是如画的美景，也因此称为十里画屏。最后一步步攀上金顶，看看远处的栾川全景，望一望金碧辉煌的金顶和身边飘过的云，那喜悦无语言表。。,2015-03-21
简简单单的家家,很漂亮的地方，云海翻腾特别好看。,2019-08-26
M24****1435,值得一游，犹如梦境一般。但是必须得体力好,2019-10-16
M45****015,冬季景色应该很不错，夏季的时候上山十里画屏有小张家界之称。,2019-12-18
喵喵莹,下雨天去的，全是雾，啥也看不见,2019-09-13
老唐老爷,登临峰顶，东看汝野千里，碧连天际；西望群峰争拔，直达巴蜀；南眺滚滚长江，银蛇飞舞；北览林海茫茫，绿树接天。故有“千尺危崖俯碧海，百丈高松撑云涛”之称。其雄伟、险峻、奇丽、神秘可见一斑。,2016-10-26
蓝色火焰007,老君山还真的不错，每年都有活动，帐篷节，美食节什么的，挺实惠的,2019-10-23
巅峰666,一次难忘的旅行！景色怡人！很开心,2018-06-14
D40****490,超级值得去 老君山很美 等待你去慢慢欣赏,2017-07-17
神农丶小赵,穿越老君山站在高峰欣赏无边的云海,2016-06-19
_WB1****546,和女朋友一起去的，她感觉非常不错，改天找机会准备再去一次！！雪景很美，但是很危险，不过值得一看，就是里面设施不是很完善。,2015-04-11
,"值得一去,自虐路线.",2003-10-25
破之殇,重装穿越 无人区 神农架山区 4天三夜 在湖北的西部，有一片神秘而原始的森林，她是金丝猴的故乡，因千年相传的“野人”之谜为世人瞩目，她就是神农架！神农架位于中国地势第二阶梯的东部边缘，由东延的余脉组成中高山地貌，区内山体高大，由西南向东北逐渐降低。神农架平均海拔1700米。山峰多在1500米以上，其中海拔3000米以上的山峰有6座，海拔2500米以上山峰20多座，最高峰神农顶海拔3105.4，成为华中第一峰，其中老君山海拔2936米，神农架因此有“华中屋脊”之称。,2018-11-06
皇帝,老君山在神龙架主峰东 北，因传说古时太上老君常在此炼丹而得名，毎当冬季，山顶皆为冰雪覆盖，山腰又常云雾缭绕，恰如银须白发的老君仙翁端坐云中。,2016-10-17
木木是Ta,风景很好，就是还没怎么开发好，还可以,2017-04-09
暗夜逍遥,神农架老君山气温较低，盛夏时节前去应穿长袖长裤，春秋两季应带毛衣或棉服，否则早晚气温低得难以忍受，经常有一些驴友进出，是探险家场所,2014-11-07
_WeCh****96315,看了半天点评，越看越糊涂，有人说的是神农架的老君山，有人在说河南洛阳的老君山。希望以后介绍景区时，把省市地名冠在前面。,2017-10-29
m41****88,山上树林茂盛，空气独好，适合爬山。,2017-04-16
几句话那,环境不错，空气很好，主要建筑有天慈宫，灵祖楼，混元殿，八卦亭，三清殿，七真殿，三官殿等，很好玩的地方。,2015-02-04
300****984,一次难忘的户外体验。道路艰险，但能坚持下来也是胜利。山顶孤独的守护者让我们敬畏。,2017-06-21
m41****88,风景不错，空气也非常新鲜，值得一游,2018-09-01
小凉同学,风景超级好看，一路上有很多奇形怪状的石头，很有特点。,2015-04-02
m41****88,老君山 由老君山原始林区、薄竹山和西华山三个片区组成,2018-11-27
m41****88,老君山景色不错，特别是秋天， 怪石嶙峋的很好看,2018-03-28
m41****88,景色非常好，空气业非常新鲜，可以去玩玩,2018-12-27
我是津少,很不错的感觉，让人流连忘返,2016-11-12
33号猪猪侠,很多人在这里露营的，农家乐很好，就是山路太长，有些千奇百怪的石头还是值得看的，风景耶很漂亮!,2015-03-21
Abby欣,风景很漂亮!!!农家乐很好!就是山路太长，女生要缓缓,2013-10-24
LG彩电,非常漂亮的景色，有山有水，值得一去！！！,2017-07-02
LG彩电,非常不错的一个景区，环境也不错，值得一去！！！,2017-09-26
mmm212,老君山在神农架主峰东北。因传说古时太上老君常在此炼丹而得名。,2014-04-04
M58****31,中国到底有几座老君山？ 中国到底有几座老君山？,2016-04-04
